studentId,name,email
15331310,__1,yzx9610@outlook.com
15331311,__2,yzx9610@outlook.com
15331312,__3,yzx9610@outlook.com
15331313,__4,yzx9610@outlook.com
15331314,__5,yzx9610@outlook.com
15331315,__6,yzx9610@outlook.com
15331316,__7,yzx9610@outlook.com
15331317,__8,yzx9610@outlook.com
15331318,__9,yzx9610@outlook.com
15331319,__10,yzx9610@outlook.com
15331320,__11,yzx9610@outlook.com
15331321,__12,yzx9610@outlook.com
15331322,__13,yzx9610@outlook.com
15331323,__14,yzx9610@outlook.com
